GameRound, P1_choice, P1_score, P2_choice, P2_score, GameValue
509,None,262,1,756,524
510,1,263,None,756,525
510,None,263,1,757,526
511,1,264,None,757,527
511,None,264,1,758,528
512,1,265,None,758,529
512,None,265,1,759,530
513,1,266,None,759,531
513,None,266,1,760,532
514,0,266,None,761,532
514,None,266,0,762,532
515,0,266,None,763,532
515,None,266,0,764,532
516,1,267,None,764,533
516,None,267,1,765,534
517,1,268,None,765,535
517,None,268,1,766,536
518,1,269,None,766,537
518,None,269,1,767,538
519,0,269,None,768,538
519,None,269,0,769,538
520,1,270,None,769,539
520,None,270,1,770,540
521,0,270,None,771,540
521,None,270,0,772,540
522,1,271,None,772,541
522,None,271,1,773,542
523,0,271,None,774,542
523,None,271,0,775,542
524,0,271,None,776,542
524,None,271,0,777,542
525,1,272,None,777,543
525,None,272,1,778,544
526,0,272,None,779,544
526,None,272,0,780,544
527,0,272,None,781,544
527,None,272,0,782,544
528,1,273,None,782,545
528,None,273,1,783,546
529,0,273,None,784,546
529,None,273,0,785,546
530,0,273,None,786,546
530,None,273,0,787,546
531,1,274,None,787,547
531,None,274,1,788,548
532,1,275,None,788,549
532,None,275,1,789,550
533,1,276,None,789,551
533,None,276,1,790,552
534,1,277,None,790,553
534,None,277,1,791,554
535,1,278,None,791,555
535,None,278,1,792,556
536,1,279,None,792,557
536,None,279,1,793,558
537,0,279,None,794,558
537,None,279,0,795,558
538,1,280,None,795,559
538,None,280,1,796,560
539,0,280,None,797,560
539,None,280,0,798,560
540,0,280,None,799,560
540,None,280,0,800,560
541,0,280,None,801,560
541,None,280,0,802,560
542,0,280,None,803,560
542,None,280,0,804,560
543,0,280,None,805,560
543,None,280,0,806,560
544,1,281,None,806,561
544,None,281,1,807,562
545,0,281,None,808,562
545,None,281,0,809,562
546,1,282,None,809,563
546,None,282,1,810,564
547,1,283,None,810,565
547,None,283,1,811,566
548,0,283,None,812,566
548,None,283,0,813,566
549,1,284,None,813,567
549,None,284,1,814,568
550,1,285,None,814,569
550,None,285,1,815,570
551,1,286,None,815,571
551,None,286,1,816,572
552,1,287,None,816,573
552,None,287,1,817,574
553,1,288,None,817,575
553,None,288,1,818,576
554,0,288,None,819,576
554,None,288,0,820,576
555,0,288,None,821,576
555,None,288,0,822,576
556,0,288,None,823,576
556,None,288,0,824,576
557,1,289,None,824,577
557,None,289,1,825,578
558,0,289,None,826,578
558,None,289,0,827,578
559,0,289,None,828,578
559,None,289,0,829,578
560,0,289,None,830,578
560,None,289,0,831,578
561,1,290,None,831,579
561,None,290,1,832,580
562,1,291,None,832,581
562,None,291,1,833,582
563,0,291,None,834,582
563,None,291,0,835,582
564,1,292,None,835,583
564,None,292,1,836,584
565,1,293,None,836,585
565,None,293,1,837,586
566,1,294,None,837,587
566,None,294,1,838,588
567,0,294,None,839,588
567,None,294,0,840,588
568,0,294,None,841,588
568,None,294,0,842,588
569,0,294,None,843,588
569,None,294,0,844,588
