date,code,open,high,low,close,volume,amount,turn,pctChg,Open,High,Low,Close,RowIndex
2012-02-22,sh.000001,2380.504,2404.442,2374.03,2403.587,11868426900,109092241265.0,0.006571,0.930407,2380.504,2404.442,2374.03,2403.587,516
2012-02-23,sh.000001,2401.738,2416.805,2396.71,2409.554,11255359300,105469685126.0,0.006232,0.248256,2401.738,2416.805,2396.71,2409.554,517
2012-02-24,sh.000001,2410.881,2439.977,2405.274,2439.628,13490324900,121550205544.0,0.00747,1.248114,2410.881,2439.977,2405.274,2439.628,518
2012-02-27,sh.000001,2447.406,2478.375,2444.629,2447.057,15807324400,144685593339.0,0.008752,0.304512,2447.406,2478.375,2444.629,2447.057,519
2012-02-28,sh.000001,2440.914,2458.651,2431.828,2451.857,11836199300,107000289102.0,0.006557,0.196156,2440.914,2458.651,2431.828,2451.857,520
2012-02-29,sh.000001,2446.228,2453.067,2426.329,2428.487,9553695200,91908381829.0,0.005291,-0.95315,2446.228,2453.067,2426.329,2428.487,521
2012-03-01,sh.000001,2418.788,2437.874,2418.334,2426.115,7508328900,71067886558.0,0.004157,-0.097677,2418.788,2437.874,2418.334,2426.115,522
2012-03-02,sh.000001,2430.098,2461.121,2430.098,2460.693,10322837800,96453866915.0,0.005715,1.425247,2430.098,2461.121,2430.098,2460.693,523
2012-03-05,sh.000001,2464.849,2469.841,2442.115,2445.002,11269332600,107604373438.0,0.006238,-0.637672,2464.849,2469.841,2442.115,2445.002,524
2012-03-06,sh.000001,2439.779,2442.001,2406.056,2410.445,10370901200,100674335990.0,0.005739,-1.413368,2439.779,2442.001,2406.056,2410.445,525
2012-03-07,sh.000001,2391.203,2413.695,2388.519,2394.794,9479063600,91730684728.0,0.005245,-0.649304,2391.203,2413.695,2388.519,2394.794,526
2012-03-08,sh.000001,2401.102,2426.698,2401.102,2420.276,9678213400,93410826914.0,0.005348,1.064055,2401.102,2426.698,2401.102,2420.276,527
2012-03-09,sh.000001,2425.885,2440.511,2414.966,2439.462,10062405500,100411480219.0,0.00556,0.792721,2425.885,2440.511,2414.966,2439.462,528
2012-03-12,sh.000001,2438.546,2440.857,2420.84,2434.859,10622305900,108158111406.0,0.005868,-0.18869,2438.546,2440.857,2420.84,2434.859,529
2012-03-13,sh.000001,2432.843,2457.22,2428.609,2455.795,10464971200,102576931855.0,0.00578,0.859846,2432.843,2457.22,2428.609,2455.795,530
2012-03-14,sh.000001,2464.915,2476.216,2382.836,2391.23,17978602900,170736655188.0,0.00993,-2.629085,2464.915,2476.216,2382.836,2391.23,531
2012-03-15,sh.000001,2388.063,2403.742,2366.024,2373.774,12002549900,112260876485.0,0.006629,-0.730003,2388.063,2403.742,2366.024,2373.774,532
2012-03-16,sh.000001,2377.757,2406.148,2368.311,2404.736,10367562200,102406003302.0,0.005725,1.304343,2377.757,2406.148,2368.311,2404.736,533
2012-03-19,sh.000001,2401.217,2412.336,2383.674,2410.184,10215349000,102981667540.0,0.005641,0.226553,2401.217,2412.336,2383.674,2410.184,534
2012-03-20,sh.000001,2407.542,2407.542,2376.031,2376.839,9790393500,94620915242.0,0.005407,-1.383503,2407.542,2407.542,2376.031,2376.839,535
2012-03-21,sh.000001,2384.709,2396.722,2361.222,2378.195,9568653800,94949639342.0,0.005285,0.057049,2384.709,2396.722,2361.222,2378.195,536
2012-03-22,sh.000001,2376.991,2386.099,2364.13,2375.772,7934888000,76900869341.0,0.004383,-0.101888,2376.991,2386.099,2364.13,2375.772,537
2012-03-23,sh.000001,2369.077,2371.263,2342.12,2349.539,7686213900,74138712972.0,0.004243,-1.104185,2369.077,2371.263,2342.12,2349.539,538
2012-03-26,sh.000001,2349.086,2357.996,2339.141,2350.599,5542773300,54051832906.0,0.00306,0.045118,2349.086,2357.996,2339.141,2350.599,539
2012-03-27,sh.000001,2358.545,2363.766,2344.304,2347.179,6088111600,65159971554.0,0.003359,-0.145502,2358.545,2363.766,2344.304,2347.179,540
2012-03-28,sh.000001,2341.003,2341.42,2281.433,2284.881,8364528300,78231139045.0,0.004614,-2.654159,2341.003,2341.42,2281.433,2284.881,541
2012-03-29,sh.000001,2276.74,2280.958,2242.345,2252.16,7424808400,68018095501.0,0.004096,-1.432074,2276.74,2280.958,2242.345,2252.16,542
2012-03-30,sh.000001,2256.042,2266.208,2246.245,2262.788,6202414700,55962029859.0,0.003421,0.47191,2256.042,2266.208,2246.245,2262.788,543
2012-04-05,sh.000001,2258.031,2303.824,2251.393,2302.241,8010145600,74602339783.0,0.004417,1.743552,2258.031,2303.824,2251.393,2302.241,544
2012-04-06,sh.000001,2299.055,2309.64,2291.559,2306.553,7213652100,68863352285.0,0.003978,0.187296,2299.055,2309.64,2291.559,2306.553,545
2012-04-09,sh.000001,2300.051,2304.65,2284.442,2285.777,5976063900,55129724461.0,0.003293,-0.900733,2300.051,2304.65,2284.442,2285.777,546
2012-04-10,sh.000001,2281.024,2306.387,2258.853,2305.863,6734552600,63133960653.0,0.00371,0.878736,2281.024,2306.387,2258.853,2305.863,547
2012-04-11,sh.000001,2286.716,2319.053,2280.035,2308.925,7513007000,67516502992.0,0.004138,0.132792,2286.716,2319.053,2280.035,2308.925,548
2012-04-12,sh.000001,2310.484,2351.055,2307.841,2350.864,9768789500,87315827000.0,0.00538,1.816385,2310.484,2351.055,2307.841,2350.864,549
2012-04-13,sh.000001,2351.513,2369.701,2346.944,2359.161,9877441400,92321434038.0,0.00544,0.352929,2351.513,2369.701,2346.944,2359.161,550
2012-04-16,sh.000001,2346.307,2364.111,2342.199,2357.026,8532268200,73752833490.0,0.004695,-0.090499,2346.307,2364.111,2342.199,2357.026,551
2012-04-17,sh.000001,2355.369,2363.013,2333.341,2334.985,8468844500,72470714424.0,0.004659,-0.935109,2355.369,2363.013,2333.341,2334.985,552
2012-04-18,sh.000001,2341.135,2383.64,2337.857,2380.848,10861254400,93123038358.0,0.005975,1.964158,2341.135,2383.64,2337.857,2380.848,553
2012-04-19,sh.000001,2378.632,2386.978,2369.459,2378.634,9427242100,89960919583.0,0.005185,-0.092986,2378.632,2386.978,2369.459,2378.634,554
2012-04-20,sh.000001,2374.662,2407.294,2372.13,2406.863,11552206200,101772111696.0,0.006352,1.186774,2374.662,2407.294,2372.13,2406.863,555
2012-04-23,sh.000001,2403.521,2411.51,2383.068,2388.588,12290755800,109412433183.0,0.006753,-0.759293,2403.521,2411.51,2383.068,2388.588,556
2012-04-24,sh.000001,2380.236,2415.749,2350.399,2388.834,13372235400,117494693490.0,0.007343,0.010303,2380.236,2415.749,2350.399,2388.834,557
2012-04-25,sh.000001,2382.211,2411.421,2376.626,2406.813,13097286700,113070083354.0,0.007192,0.752627,2382.211,2411.421,2376.626,2406.813,558
2012-04-26,sh.000001,2408.558,2414.754,2393.265,2404.697,11552958700,104823228170.0,0.006344,-0.087916,2408.558,2414.754,2393.265,2404.697,559
2012-04-27,sh.000001,2402.431,2408.42,2393.867,2396.316,9122835000,84016072396.0,0.005009,-0.348531,2402.431,2408.42,2393.867,2396.316,560
2012-05-02,sh.000001,2421.082,2446.35,2407.788,2438.436,12800600600,123975243894.0,0.007026,1.757703,2421.082,2446.35,2407.788,2438.436,561
2012-05-03,sh.000001,2433.589,2441.953,2427.728,2440.08,10224849300,102185836407.0,0.005612,0.067422,2433.589,2441.953,2427.728,2440.08,562
2012-05-04,sh.000001,2437.465,2453.731,2427.969,2452.014,10220487100,102378296014.0,0.005607,0.489076,2437.465,2453.731,2427.969,2452.014,563
2012-05-07,sh.000001,2441.757,2451.947,2432.736,2451.947,10883010700,111395001265.0,0.005967,-0.002728,2441.757,2451.947,2432.736,2451.947,564
2012-05-08,sh.000001,2451.575,2451.598,2431.025,2448.884,10485553700,104969661883.0,0.005748,-0.124921,2451.575,2451.598,2431.025,2448.884,565
2012-05-09,sh.000001,2432.472,2432.472,2407.509,2408.587,9790221200,99521226356.0,0.005366,-1.64553,2432.472,2432.472,2407.509,2408.587,566
2012-05-10,sh.000001,2409.945,2419.121,2402.204,2410.23,8169847100,81054861426.0,0.004476,0.068217,2409.945,2419.121,2402.204,2410.23,567
2012-05-11,sh.000001,2406.074,2415.977,2393.378,2394.983,7486399500,75815758028.0,0.004101,-0.632598,2406.074,2415.977,2393.378,2394.983,568
2012-05-14,sh.000001,2408.262,2411.272,2377.983,2380.725,9052633900,89364340585.0,0.004956,-0.59532,2408.262,2411.272,2377.983,2380.725,569
2012-05-15,sh.000001,2367.083,2376.594,2354.614,2374.843,7792291600,77334728771.0,0.004264,-0.247071,2367.083,2376.594,2354.614,2374.843,570
2012-05-16,sh.000001,2369.295,2372.032,2344.5,2346.192,7673382900,74181725328.0,0.004198,-1.206443,2369.295,2372.032,2344.5,2346.192,571
2012-05-17,sh.000001,2347.177,2383.306,2342.352,2378.886,8687003000,81458439849.0,0.004751,1.393496,2347.177,2383.306,2342.352,2378.886,572
2012-05-18,sh.000001,2364.899,2369.598,2338.241,2344.52,8968941900,78956446671.0,0.004904,-1.444624,2364.899,2369.598,2338.241,2344.52,573
2012-05-21,sh.000001,2343.576,2360.386,2330.325,2348.3,7484034100,70052964572.0,0.00409,0.161228,2343.576,2360.386,2330.325,2348.3,574
2012-05-22,sh.000001,2355.732,2374.056,2354.868,2373.307,7677978000,75374527235.0,0.004194,1.064891,2355.732,2374.056,2354.868,2373.307,575
2012-05-23,sh.000001,2369.265,2378.077,2350.548,2363.437,8421658000,84886660758.0,0.004601,-0.41587,2369.265,2378.077,2350.548,2363.437,576
2012-05-24,sh.000001,2359.682,2373.057,2344.58,2350.973,7920680500,76840602473.0,0.004326,-0.527372,2359.682,2373.057,2344.58,2350.973,577
2012-05-25,sh.000001,2350.541,2355.808,2327.408,2333.553,7401925200,68024547810.0,0.004039,-0.740966,2350.541,2355.808,2327.408,2333.553,578
2012-05-28,sh.000001,2325.317,2361.744,2309.072,2361.367,9496210500,86735892422.0,0.00518,1.191915,2325.317,2361.744,2309.072,2361.367,579
2012-05-29,sh.000001,2361.003,2393.279,2358.374,2389.636,11715772500,111363644314.0,0.00639,1.197147,2361.003,2393.279,2358.374,2389.636,580
2012-05-30,sh.000001,2385.392,2391.691,2378.133,2384.668,8980979300,84828401300.0,0.004896,-0.207899,2385.392,2391.691,2378.133,2384.668,581
2012-05-31,sh.000001,2370.007,2382.989,2362.314,2372.234,7789022800,75383460178.0,0.004245,-0.521418,2370.007,2382.989,2362.314,2372.234,582
2012-06-01,sh.000001,2373.224,2388.087,2365.442,2373.436,7702192300,77078144800.0,0.004195,0.050676,2373.224,2388.087,2365.442,2373.436,583
2012-06-04,sh.000001,2346.984,2348.199,2308.229,2308.55,9017934700,86903299584.0,0.004906,-2.733842,2346.984,2348.199,2308.229,2308.55,584
2012-06-05,sh.000001,2313.741,2323.298,2304.046,2311.916,6607852800,64099737588.0,0.003595,0.145804,2313.741,2323.298,2304.046,2311.916,585
2012-06-06,sh.000001,2315.561,2323.113,2301.035,2309.555,5853202800,58562081283.0,0.003184,-0.102127,2315.561,2323.113,2301.035,2309.555,586
2012-06-07,sh.000001,2324.672,2328.672,2288.665,2293.13,6023204800,59646400379.0,0.003275,-0.711178,2324.672,2328.672,2288.665,2293.13,587
2012-06-08,sh.000001,2306.219,2306.882,2276.714,2281.447,6792464100,63755911203.0,0.003693,-0.509472,2306.219,2306.882,2276.714,2281.447,588
2012-06-11,sh.000001,2282.891,2311.772,2278.163,2305.856,6419796700,60177220468.0,0.003489,1.069888,2282.891,2311.772,2278.163,2305.856,589
2012-06-12,sh.000001,2295.07,2298.95,2280.951,2289.791,5994198200,55298586708.0,0.003254,-0.696702,2295.07,2298.95,2280.951,2289.791,590
2012-06-13,sh.000001,2289.707,2319.714,2284.65,2318.924,7845434900,73945581880.0,0.004257,1.272302,2289.707,2319.714,2284.65,2318.924,591
2012-06-14,sh.000001,2306.781,2314.585,2293.065,2295.946,7163372200,68928753615.0,0.003886,-0.990892,2306.781,2314.585,2293.065,2295.946,592
2012-06-15,sh.000001,2299.781,2314.242,2283.4,2306.85,6868757900,67855914889.0,0.003726,0.474926,2299.781,2314.242,2283.4,2306.85,593
2012-06-18,sh.000001,2313.53,2325.052,2309.709,2316.052,6059462200,60309396127.0,0.003285,0.398895,2313.53,2325.052,2309.709,2316.052,594
2012-06-19,sh.000001,2313.455,2313.455,2298.394,2300.795,6013590500,57869602291.0,0.00326,-0.658754,2313.455,2313.455,2298.394,2300.795,595
2012-06-20,sh.000001,2300.406,2304.458,2291.541,2292.877,5410395500,50568121867.0,0.002933,-0.344141,2300.406,2304.458,2291.541,2292.877,596
2012-06-21,sh.000001,2288.454,2288.454,2253.789,2260.877,5899201200,54696856218.0,0.003198,-1.395627,2288.454,2288.454,2253.789,2260.877,597
2012-06-25,sh.000001,2253.514,2253.514,2223.054,2224.114,5976895200,54809336014.0,0.003238,-1.626048,2253.514,2253.514,2223.054,2224.114,598
2012-06-26,sh.000001,2214.649,2229.24,2203.944,2222.067,5294079800,47281397826.0,0.002867,-0.092042,2214.649,2229.24,2203.944,2222.067,599
2012-06-27,sh.000001,2219.944,2233.543,2213.323,2216.934,5104912800,45220313771.0,0.002764,-0.230993,2219.944,2233.543,2213.323,2216.934,600
2012-06-28,sh.000001,2220.236,2224.155,2195.356,2195.843,5418218300,50299744713.0,0.002933,-0.951362,2220.236,2224.155,2195.356,2195.843,601
