GameRound, P1_choice, P1_score, P2_choice, P2_score, GameValue
396,0,189,None,602,378
396,None,189,0,603,378
397,1,190,None,603,379
397,None,190,1,604,380
398,1,191,None,604,381
398,None,191,1,605,382
399,1,192,None,605,383
399,None,192,1,606,384
400,1,193,None,606,385
400,None,193,1,607,386
401,1,194,None,607,387
401,None,194,1,608,388
402,1,195,None,608,389
402,None,195,1,609,390
403,1,196,None,609,391
403,None,196,1,610,392
404,1,197,None,610,393
404,None,197,1,611,394
405,1,198,None,611,395
405,None,198,1,612,396
406,0,198,None,613,396
406,None,198,0,614,396
407,0,198,None,615,396
407,None,198,0,616,396
408,1,199,None,616,397
408,None,199,1,617,398
409,0,199,None,618,398
409,None,199,0,619,398
410,0,199,None,620,398
410,None,199,0,621,398
411,0,199,None,622,398
411,None,199,0,623,398
412,1,200,None,623,399
412,None,200,1,624,400
413,1,201,None,624,401
413,None,201,1,625,402
414,0,201,None,626,402
414,None,201,0,627,402
415,0,201,None,628,402
415,None,201,0,629,402
416,0,201,None,630,402
416,None,201,0,631,402
417,1,202,None,631,403
417,None,202,1,632,404
418,1,203,None,632,405
418,None,203,1,633,406
419,1,204,None,633,407
419,None,204,1,634,408
420,0,204,None,635,408
420,None,204,0,636,408
421,1,205,None,636,409
421,None,205,1,637,410
422,1,206,None,637,411
422,None,206,1,638,412
423,1,207,None,638,413
423,None,207,1,639,414
424,1,208,None,639,415
424,None,208,1,640,416
425,1,209,None,640,417
425,None,209,1,641,418
426,0,209,None,642,418
426,None,209,0,643,418
427,0,209,None,644,418
427,None,209,0,645,418
428,0,209,None,646,418
428,None,209,0,647,418
429,1,210,None,647,419
429,None,210,1,648,420
430,1,211,None,648,421
430,None,211,1,649,422
431,1,212,None,649,423
431,None,212,1,650,424
432,0,212,None,651,424
432,None,212,0,652,424
433,1,213,None,652,425
433,None,213,1,653,426
434,0,213,None,654,426
434,None,213,0,655,426
435,1,214,None,655,427
435,None,214,1,656,428
436,1,215,None,656,429
436,None,215,1,657,430
437,1,216,None,657,431
437,None,216,1,658,432
438,1,217,None,658,433
438,None,217,1,659,434
439,1,218,None,659,435
439,None,218,1,660,436
440,1,219,None,660,437
440,None,219,1,661,438
441,1,220,None,661,439
441,None,220,1,662,440
442,0,220,None,663,440
442,None,220,0,664,440
443,1,221,None,664,441
443,None,221,1,665,442
444,1,222,None,665,443
444,None,222,1,666,444
445,0,222,None,667,444
445,None,222,0,668,444
446,0,222,None,669,444
446,None,222,0,670,444
447,0,222,None,671,444
447,None,222,0,672,444
448,1,223,None,672,445
448,None,223,1,673,446
449,0,223,None,674,446
449,None,223,0,675,446
450,0,223,None,676,446
450,None,223,0,677,446
451,1,224,None,677,447
451,None,224,1,678,448
452,1,225,None,678,449
452,None,225,1,679,450
453,0,225,None,680,450
453,None,225,0,681,450
454,1,226,None,681,451
454,None,226,1,682,452
455,1,227,None,682,453
455,None,227,1,683,454
456,0,227,None,684,454
456,None,227,0,685,454
457,1,228,None,685,455
457,None,228,1,686,456
458,0,228,None,687,456
458,None,228,0,688,456
459,1,229,None,688,457
459,None,229,1,689,458
460,1,230,None,689,459
460,None,230,1,690,460
461,0,230,None,691,460
461,None,230,0,692,460
462,0,230,None,693,460
462,None,230,0,694,460
463,0,230,None,695,460
463,None,230,0,696,460
464,0,230,None,697,460
464,None,230,0,698,460
465,1,231,None,698,461
465,None,231,1,699,462
466,0,231,None,700,462
466,None,231,0,701,462
467,1,232,None,701,463
467,None,232,1,702,464
468,0,232,None,703,464
468,None,232,0,704,464
469,1,233,None,704,465
469,None,233,1,705,466
470,1,234,None,705,467
470,None,234,1,706,468
471,0,234,None,707,468
471,None,234,0,708,468
472,1,235,None,708,469
472,None,235,1,709,470
473,0,235,None,710,470
473,None,235,0,711,470
474,0,235,None,712,470
474,None,235,0,713,470
475,0,235,None,714,470
475,None,235,0,715,470
476,1,236,None,715,471
476,None,236,1,716,472
477,1,237,None,716,473
477,None,237,1,717,474
478,1,238,None,717,475
478,None,238,1,718,476
479,1,239,None,718,477
479,None,239,1,719,478
480,1,240,None,719,479
480,None,240,1,720,480
481,1,241,None,720,481
481,None,241,1,721,482
482,0,241,None,722,482
482,None,241,0,723,482
483,0,241,None,724,482
483,None,241,0,725,482
484,0,241,None,726,482
484,None,241,0,727,482
485,0,241,None,728,482
485,None,241,0,729,482
486,0,241,None,730,482
486,None,241,0,731,482
487,0,241,None,732,482
487,None,241,0,733,482
488,0,241,None,734,482
488,None,241,0,735,482
489,0,241,None,736,482
489,None,241,0,737,482
490,0,241,None,738,482
490,None,241,0,739,482
491,1,242,None,739,483
491,None,242,1,740,484
492,0,242,None,741,484
492,None,242,0,742,484
493,1,243,None,742,485
493,None,243,1,743,486
494,0,243,None,744,486
494,None,243,0,745,486
495,1,244,None,745,487
495,None,244,1,746,488
496,1,245,None,746,489
496,None,245,1,747,490
497,0,245,None,748,490
497,None,245,0,749,490
498,0,245,None,750,490
498,None,245,0,751,490
499,1,246,None,751,491
499,None,246,1,752,492
500,1,247,None,752,493
500,None,247,1,753,494
501,0,247,None,754,494
501,None,247,0,755,494
502,1,248,None,755,495
502,None,248,1,756,496
503,0,248,None,757,496
503,None,248,0,758,496
504,1,249,None,758,497
504,None,249,1,759,498
505,0,249,None,760,498
505,None,249,0,761,498
506,1,250,None,761,499
506,None,250,1,762,500
507,0,250,None,763,500
507,None,250,0,764,500
508,1,251,None,764,501
508,None,251,1,765,502
509,1,252,None,765,503
509,None,252,1,766,504
510,0,252,None,767,504
510,None,252,0,768,504
511,0,252,None,769,504
511,None,252,0,770,504
512,1,253,None,770,505
512,None,253,1,771,506
513,0,253,None,772,506
513,None,253,0,773,506
514,1,254,None,773,507
514,None,254,1,774,508
515,0,254,None,775,508
515,None,254,0,776,508
516,0,254,None,777,508
516,None,254,0,778,508
517,1,255,None,778,509
517,None,255,1,779,510
518,0,255,None,780,510
518,None,255,0,781,510
519,1,256,None,781,511
519,None,256,1,782,512
520,1,257,None,782,513
520,None,257,1,783,514
521,1,258,None,783,515
521,None,258,1,784,516
522,1,259,None,784,517
522,None,259,1,785,518
523,0,259,None,786,518
523,None,259,0,787,518
524,1,260,None,787,519
524,None,260,1,788,520
525,0,260,None,789,520
525,None,260,0,790,520
526,1,261,None,790,521
526,None,261,1,791,522
527,0,261,None,792,522
527,None,261,0,793,522
528,0,261,None,794,522
528,None,261,0,795,522
529,0,261,None,796,522
529,None,261,0,797,522
530,0,261,None,798,522
530,None,261,0,799,522
531,1,262,None,799,523
531,None,262,1,800,524
532,0,262,None,801,524
532,None,262,0,802,524
533,0,262,None,803,524
533,None,262,0,804,524
534,1,263,None,804,525
534,None,263,1,805,526
535,0,263,None,806,526
535,None,263,0,807,526
536,1,264,None,807,527
536,None,264,1,808,528
537,1,265,None,808,529
537,None,265,1,809,530
538,0,265,None,810,530
538,None,265,0,811,530
539,0,265,None,812,530
539,None,265,0,813,530
540,1,266,None,813,531
540,None,266,1,814,532
541,0,266,None,815,532
541,None,266,0,816,532
542,0,266,None,817,532
542,None,266,0,818,532
543,0,266,None,819,532
543,None,266,0,820,532
544,0,266,None,821,532
544,None,266,0,822,532
545,1,267,None,822,533
545,None,267,1,823,534
546,0,267,None,824,534
546,None,267,0,825,534
547,1,268,None,825,535
547,None,268,1,826,536
548,0,268,None,827,536
548,None,268,0,828,536
549,0,268,None,829,536
549,None,268,0,830,536
550,1,269,None,830,537
550,None,269,1,831,538
551,0,269,None,832,538
551,None,269,0,833,538
552,0,269,None,834,538
552,None,269,0,835,538
553,1,270,None,835,539
553,None,270,1,836,540
554,1,271,None,836,541
554,None,271,1,837,542
555,0,271,None,838,542
555,None,271,0,839,542
556,1,272,None,839,543
556,None,272,1,840,544
557,0,272,None,841,544
557,None,272,0,842,544
558,0,272,None,843,544
558,None,272,0,844,544
559,0,272,None,845,544
559,None,272,0,846,544
560,0,272,None,847,544
560,None,272,0,848,544
561,0,272,None,849,544
561,None,272,0,850,544
562,1,273,None,850,545
562,None,273,1,851,546
563,0,273,None,852,546
563,None,273,0,853,546
564,0,273,None,854,546
564,None,273,0,855,546
565,0,273,None,856,546
